total,species_a,species_b,n,m,potential_energy,potential_energy_per_atom,formation_energy_per_atom,strain_tension_per_a_atom,strain_compression_per_b_atom,interface_energy
8,Si,Ge,2,6,-323.6841055452572,-5.0575641491446435,0.0016968472129836876,0.017640717300272613,0.013762618519703432,-0.8342589441193695
8,Si,Ge,3,5,-330.265824693179,-5.160403510830922,0.0014941630136964257,0.017640717300273206,0.013762618519704261,-0.8782555231182982
8,Si,Ge,4,4,-336.81478449196874,-5.2627310076870115,0.0018033436445978879,0.017640717300271724,0.01376261851970284,-0.8894927529850634
8,Si,Ge,5,3,-343.331059220821,-5.364547800325328,0.002623228493272789,0.017640717300272966,0.013762618519703432,-0.8680449129143426
8,Si,Ge,6,2,-349.8154258549436,-5.465866028983494,0.003941677322097714,0.01764071730027202,0.01376261851970284,-0.8146889781140203
8,Si,Ge,7,1,-356.2693101755745,-5.566707971493352,0.005736412299231608,0.01764071730027236,0.01376261851970284,-0.7308507298220093
9,Si,Ge,1,8,-355.8560939349642,-4.942445749096724,0.0027744944975785935,0.017640717300271724,0.013762618519703729,-0.8221697198375182
9,Si,Ge,2,7,-362.4772590324208,-5.034406375450289,0.002046470354673128,0.017640717300272613,0.013762618519703349,-0.905612248371483
9,Si,Ge,3,6,-369.0694515940906,-5.125964605473481,0.0017208425421407646,0.017640717300273206,0.013762618519703432,-0.960082241118414
9,Si,Ge,4,5,-375.6316384557219,-5.217106089662804,0.001811960563476273,0.017640717300271724,0.013762618519704261,-0.9845465338267445
9,Si,Ge,5,4,-382.16492826503725,-5.307846225903295,0.0023044265336436987,0.017640717300272966,0.01376261851970284,-0.9801137742191486
9,Si,Ge,6,3,-388.66930222266143,-5.3981847530925195,0.0031985015550777263,0.01764071730027202,0.013762618519703432,-0.9467651629203147
9,Si,Ge,7,2,-395.14549527761943,-5.4881318788558255,0.004483978002431301,0.01764071730027236,0.01376261851970284,-0.8852356489554154
9,Si,Ge,8,1,-401.59529388619586,-5.5777124150860535,0.006136043982861494,0.017640717300271724,0.01376261851970284,-0.7973116886090565
10,Si,Ge,1,9,-394.64233400170417,-4.933029175021302,0.0030678083519354972,0.017640717300271724,0.013762618519704025,-0.8866096036658178
10,Si,Ge,2,8,-401.26880222805977,-5.0158600278507475,0.002346297512083595,0.017640717300272613,0.013762618519703729,-0.9753552610987413
10,Si,Ge,3,7,-407.8688464574144,-5.09836058071768,0.001955086634743708,0.017640717300273206,0.013762618519703349,-1.0376769215306467
10,Si,Ge,4,6,-414.44149471195885,-5.180518683899486,0.0019063254425308429,0.017640717300271724,0.013762618519703432,-1.0726026071522483
10,Si,Ge,5,5,-420.9882022606426,-5.262352528258033,0.0021818230735771494,0.017640717300272966,0.013762618519704261,-1.081587586913031
10,Si,Ge,6,4,-427.50953205677496,-5.343869150709687,0.0027745426115153293,0.01764071730027202,0.01376261851970284,-1.0651948141223784
10,Si,Ge,7,3,-434.00479040825013,-5.4250598801031265,0.00369315520766893,0.01764071730027236,0.013762618519703432,-1.0227305966745917
10,Si,Ge,8,2,-440.47538932120665,-5.505942366515083,0.004920010785304995,0.017640717300271724,0.01376261851970284,-0.9556069407083214
10,Si,Ge,9,1,-446.9209068923403,-5.586511336154254,0.006460383135726566,0.01764071730027202,0.01376261851970284,-0.8634019429190971
11,Si,Ge,1,10,-433.4279123698963,-4.925317186021549,0.0033153117162718422,0.017640717300271724,0.013762618519704261,-0.9503877889462728
11,Si,Ge,2,9,-440.0586026757536,-5.0006659394972,0.0026114145947957468,0.017640717300272613,0.013762618519704025,-1.0433555258808838
11,Si,Ge,3,8,-446.6652027249037,-5.075740940055724,0.002181270390447697,0.017640717300273206,0.013762618519703729,-1.1122330061082266
11,Si,Ge,4,7,-453.2480044534644,-5.150545505153004,0.0020215616473419377,0.017640717300271724,0.013762618519703349,-1.1573121657461911
11,Si,Ge,5,6,-459.8055844687251,-5.225063459871876,0.002148463282645578,0.017640717300272966,0.013762618519703432,-1.1771696120840147
11,Si,Ge,6,5,-466.34010388465776,-5.299319362325656,0.0025374171830408313,0.01764071730027202,0.013762618519704261,-1.1739664590937195
11,Si,Ge,7,4,-472.85113712382037,-5.373308376407049,0.003193259455823171,0.01764071730027236,0.01376261851970284,-1.1472771293333608
11,Si,Ge,8,3,-479.3375183184931,-5.44701725361924,0.0041292385978080855,0.017640717300271724,0.013762618519703432,-1.0959357550832465
